Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Year,Category
Richard Sherman*,SEA,28,LCB,16,16,4,37,0,31,13,0,0,1,14,0,0.0,58,38,20,2,0,,2016,defense
Derek Wolfe,DEN,26,LDE,14,14,0,0,0,0,4,,,,,,5.5,51,38,13,4,19,,2016,defense
Anthony Barr*,MIN,24,RLB,16,16,0,0,0,0,4,1,0,1,0,0,2.0,70,37,33,3,8,,2016,defense
Justin Bethel,ARI,26,,16,3,1,66,1,66,6,1,0,1,0,0,0.0,39,37,2,3,0,,2016,defense
Perrish Cox,TEN,29,LCB,11,9,3,3,0,3,11,,,,,,0.0,42,37,5,0,0,,2016,defense
William Gholston,TAM,25,RDE,14,14,,,,,,1,0,1,0,0,3.0,49,37,12,9,7,,2016,defense
Joe Haden,CLE,27,LCB,13,13,3,9,0,9,11,,,,,,0.0,48,37,11,0,0,,2016,defense
Linval Joseph*,MIN,28,RDT,16,16,,,,,,3,0,0,0,0,4.0,77,37,40,5,17,,2016,defense
Sean Spence,TEN,26,lilb,15,6,0,0,0,0,3,1,0,0,0,0,3.0,54,37,17,2,5,,2016,defense
J.J. Wilcox,DAL,25,,13,4,1,8,0,8,6,1,0,0,0,0,0.0,49,37,12,0,0,,2016,defense
Vince Williams,PIT,27,,16,4,,,,,,,,,,,2.0,47,37,10,7,6,,2016,defense
Aaron Donald*+,LAR,25,LDT,16,16,0,0,0,0,5,2,0,0,0,0,8.0,47,36,11,17,31,,2016,defense
Kyle Emanuel,SDG,25,ROLB,16,11,0,0,0,0,1,1,0,1,0,0,0.5,58,36,22,3,4,,2016,defense
,,,,,,,,,,,,,,,,,,,,,,,2016,defense
Everson Griffen*,MIN,29,RDE,16,16,0,0,0,0,1,2,0,3,20,1,8.0,48,36,12,9,22,,2016,defense
Akiem Hicks,CHI,27,LDE,16,16,0,0,0,0,2,2,0,1,0,0,7.0,54,36,18,11,17,,2016,defense
Whitney Mercilus,HOU,26,LOLB,15,15,0,0,0,0,1,1,0,4,7,0,7.5,53,36,17,13,22,,2016,defense
Leonard Williams*,NYJ,22,LDE,16,16,,,,,,2,0,0,0,0,7.0,68,36,32,11,19,,2016,defense
Antwon Blake,TEN,26,,16,1,0,0,0,0,5,,,,,,0.0,42,35,7,1,0,,2016,defense
